🌙月光宝盒,#genre#
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB J1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=tvbp
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIUTV,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY TV,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2
美亚电影,http://php.jdshipin.com/TVOD/iptv.php?id=meiya
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
广东体育,http://php.jdshipin.com/TVOD/iptv.php?id=gdty
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
CCTV1港澳版,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
音乐台,https://kq.bgp.68tool.com/video/m3u8/2022/08/17/e4ce2ac7/playlist.m3u8
翡翠台,http://aktv_stream1.m16tv.cfd/stream/aktv/null/AKTV.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
凤凰中文,https://cdn.163189.xyz/live/fhzw/stream.m3u8 
凤凰中文,http://aktv_stream1.m16tv.cfd/stream/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv_stream1.m16tv.cfd/stream/aktv/null-4/AKTV.m3u8
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8 
凤凰香港,https://cdn3.163189.xyz/live/fhxg/stream.m3u8
凤凰香港,http://aktv_stream1.m16tv.cfd/stream/aktv/null-5/AKTV.m3u8
美亚电影,http://aktv_stream1.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8
凤凰电影,https://tv.bfsu.edu.cn/hls/fhdy.m3u8
经典电影,http://ali.hlspull.yximgs.com/live/asdfgjddydy001.flv
popc电影,http://aktv_stream1.m16tv.cfd/stream/aktv/popc/AKTV.m3u8
亞洲衛視,https://p2hs.vzan.com/slowlive/821481626725612419/live.m3u8
临夏市台,http://124.152.34.102:8030/wCMq71/wCMq71_0.m3u8
沭阳综合,http://shuyang-tv-hls.cm.jstv.com/shuyang-tv/shuyangzh.m3u8
水浒传轮播,http://1.94.31.214:35455/huya/26355860
黄埔慢直播,https://pili-live-hls.wdit.com.cn/wditlive/2ccda390789949a6ac77296923d94d8e140d.m3u8
四川文化旅游,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/301
四川妇女儿童,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/303
四川经济,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/302
四川科教,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/304
峨眉电影,http://api.dbkan.cdn.iptv.xin:2052/api.dbkan.com/hn/306

🇨🇳4K超清,#genre#,DE=3


河南卫视4k,http://zh.sqitv.com:888/hls/82/index.m3u8
北京卫视4k,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/beijgf.js?id=bjws4k&t=湘西卫视出品

深圳卫视4k,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/senzhentv.js?id=szws4k&t=湘西卫视出品

东方卫视4K,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/txmbo.js?id=http://livebroadcast-pull.netapitest.com/live/dtv4k
江苏卫视4K,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/txmbo.js?id=http://litchi-play-encrypted.jstv.com/4klive/jsws4kpro
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8

湖南卫视4k,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8

浙江卫视4k,https://play-qukan.cztv.com/live/1758879019692345.m3u8
CCTV4K,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/cctvnews.js?id=cctv4k

CCTV-8K,https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/k-web/ku9/js/jiu1zytv.js?ename=cctv8k&token=xiangxiweishiIPTV

🇨🇳银河TV,#genre#,JS=https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/yinhe.js
CCTV-1,http://A/ku9/js/yinhe.js?id=G_CCTV-1-HQ
CCTV-2,http://A/ku9/js/yinhe.js?id=G_CCTV-2-HQ
CCTV-3,http://A/ku9/js/yinhe.js?id=G_CCTV-3-HQ
CCTV-4,http://A/ku9/js/yinhe.js?id=G_CCTV-4-HQ
CCTV-4K,http://A/ku9/js/yinhe.js?id=G_CCTV-4K-HD
CCTV-5,http://A/ku9/js/yinhe.js?id=G_CCTV-5-HQ
CCTV-5+,http://A/ku9/js/yinhe.js?id=G_CCTV-5PLUS-HQ
CCTV-6,http://A/ku9/js/yinhe.js?id=G_CCTV-6-HQ
CCTV-7,http://A/ku9/js/yinhe.js?id=G_CCTV-7-HQ
CCTV-8,http://A/ku9/js/yinhe.js?id=G_CCTV-8-HQ
CCTV-9,http://A/ku9/js/yinhe.js?id=G_CCTV-9-HQ
CCTV-10,http://A/ku9/js/yinhe.js?id=G_CCTV-10-HQ
CCTV-11,http://A/ku9/js/yinhe.js?id=G_CCTV-11-HQ
CCTV-12,http://A/ku9/js/yinhe.js?id=G_CCTV-12-HQ
CCTV-13,http://A/ku9/js/yinhe.js?id=G_CCTV-13-HQ
CCTV-14,http://A/ku9/js/yinhe.js?id=G_CCTV-14-HQ
CCTV-15,http://A/ku9/js/yinhe.js?id=G_CCTV-15-HQ
CCTV-16,http://A/ku9/js/yinhe.js?id=G_CCTV-16-HQ
CCTV-17,http://A/ku9/js/yinhe.js?id=G_CCTV-17-HQ
女性时尚,http://A/ku9/js/yinhe.js?id=G_NVXINGSS
老故事,http://A/ku9/js/yinhe.js?id=G_LAOGUSHI
发现之旅,http://A/ku9/js/yinhe.js?id=G_FAXIANZL
CGTN新闻,http://A/ku9/js/yinhe.js?id=G_CCTV-NEWS
CGTN俄语,http://A/ku9/js/yinhe.js?id=G_CGTN-PYCCNN
CGTN西班牙语,http://A/ku9/js/yinhe.js?id=G_CGTN-ESPANOL
CGTN法语,http://A/ku9/js/yinhe.js?id=G_CGTN-FRANCAIS
CGTN阿拉伯语,http://A/ku9/js/yinhe.js?id=G_CGTN_A
江苏卫视,http://A/ku9/js/yinhe.js?id=G_JIANGSU-HQ
央广购物,http://A/ku9/js/yinhe.js?id=G_YANGGUANGGOU
好享购物,http://A/ku9/js/yinhe.js?id=G_HAOXIANG
优选好物,http://A/ku9/js/yinhe.js?id=GITV-GG-1
湖南卫视,http://A/ku9/js/yinhe.js?id=G_HUNAN-HQ
浙江卫视,http://A/ku9/js/yinhe.js?id=G_ZHEJIANG-HQ
东方卫视,http://A/ku9/js/yinhe.js?id=G_DONGFANG-HQ
北京卫视,http://A/ku9/js/yinhe.js?id=G_BEIJING-HQ
北京卫视4K,http://A/ku9/js/yinhe.js?id=G_BEIJING-4K
广东卫视,http://A/ku9/js/yinhe.js?id=G_GUANGDONG-HQ
山东卫视,http://A/ku9/js/yinhe.js?id=G_SHANDONG-HQ
深圳卫视,http://A/ku9/js/yinhe.js?id=G_SHENZHEN-HQ
安徽卫视,http://A/ku9/js/yinhe.js?id=G_ANHUI-HQ
四川卫视,http://A/ku9/js/yinhe.js?id=G_SICHUAN-HQ
黑龙江卫视,http://A/ku9/js/yinhe.js?id=G_HEILONGJIANG-HQ
天津卫视,http://A/ku9/js/yinhe.js?id=G_TIANJIN-HQ
湖北卫视,http://A/ku9/js/yinhe.js?id=G_HUBEI-HQ
辽宁卫视,http://A/ku9/js/yinhe.js?id=G_LIAONING-HQ
甘肃卫视,http://A/ku9/js/yinhe.js?id=G_GANSU-HQ
重庆卫视,http://A/ku9/js/yinhe.js?id=G_CHONGQING-HQ
广西卫视,http://A/ku9/js/yinhe.js?id=G_GUANGXI-HQ
贵州卫视,http://A/ku9/js/yinhe.js?id=G_GUIZHOU-HQ
海南卫视,http://A/ku9/js/yinhe.js?id=G_HAINAN-HQ
河北卫视,http://A/ku9/js/yinhe.js?id=G_HEBEI-HQ
河南卫视,http://A/ku9/js/yinhe.js?id=G_HENAN-HQ
吉林卫视,http://A/ku9/js/yinhe.js?id=G_JILIN-HQ
江西卫视,http://A/ku9/js/yinhe.js?id=G_JIANGXI-HQ
内蒙古卫视,http://A/ku9/js/yinhe.js?id=G_NEIMENGGU
宁夏卫视,http://A/ku9/js/yinhe.js?id=G_NINGXIA
三沙卫视,http://A/ku9/js/yinhe.js?id=G_SANSHA-HQ
陕西卫视,http://A/ku9/js/yinhe.js?id=G_SHANXI-HQ
西藏卫视,http://A/ku9/js/yinhe.js?id=G_XIZANG
新疆卫视,http://A/ku9/js/yinhe.js?id=G_XINJIANG
青海卫视,http://A/ku9/js/yinhe.js?id=G_QINGHAI
厦门卫视,http://A/ku9/js/yinhe.js?id=G_XIAMEN
云南卫视,http://A/ku9/js/yinhe.js?id=G_YUNNAN-HQ
安多卫视,http://A/ku9/js/yinhe.js?id=G_ANDUO
兵团卫视,http://A/ku9/js/yinhe.js?id=G_BINGTUAN
东南卫视,http://A/ku9/js/yinhe.js?id=G_DONGNAN-HQ
康巴卫视,http://A/ku9/js/yinhe.js?id=G_KANGBA
农林卫视,http://A/ku9/js/yinhe.js?id=G_NONGLIN
延边卫视,http://A/ku9/js/yinhe.js?id=G_YANBIAN
山东教育,http://A/ku9/js/yinhe.js?id=G_SDETV
北京冬奥纪实高清,http://A/ku9/js/yinhe.js?id=G_BEIJINGJS-HD
家庭理财,http://A/ku9/js/yinhe.js?id=G_JIATINGLC
炫动卡通,http://A/ku9/js/yinhe.js?id=G_XUANDONG
金鹰卡通,http://A/ku9/js/yinhe.js?id=G_JINYING
嘉佳卡通,http://A/ku9/js/yinhe.js?id=G_JIAJIA
优漫卡通,http://A/ku9/js/yinhe.js?id=G_YOUMAN
卡酷少儿,http://A/ku9/js/yinhe.js?id=G_KAKU
CETV-1,http://A/ku9/js/yinhe.js?id=G_CETV-1-HQ
CETV-2,http://A/ku9/js/yinhe.js?id=G_CETV-2
CETV-3,http://A/ku9/js/yinhe.js?id=G_CETV-3
CETV-4,http://A/ku9/js/yinhe.js?id=G_CETV-4
早期教育,http://A/ku9/js/yinhe.js?id=G_CETV-ZQJY
天元围棋,http://A/ku9/js/yinhe.js?id=G_TIANYUANWQ
国学,http://A/ku9/js/yinhe.js?id=G_GUOXUE
频道爆笑喜剧,http://A/ku9/js/yinhe.js?id=GITV-HB-1
劲爆动作,http://A/ku9/js/yinhe.js?id=GITV-HB-2
热门动画,http://A/ku9/js/yinhe.js?id=GITV-HB-3
热播综艺,http://A/ku9/js/yinhe.js?id=GITV-HB-4
情感地图,http://A/ku9/js/yinhe.js?id=GITV-HB-5
真人秀场,http://A/ku9/js/yinhe.js?id=GITV-HB-6
美好生活家,http://A/ku9/js/yinhe.js?id=GITV-GG-2
AI直播频道,http://A/ku9/js/yinhe.js?id=GITV-AI-1
AI直播频道4K,http://A/ku9/js/yinhe.js?id=GITV-AI-4K
家庭剧场,http://A/ku9/js/yinhe.js?id=GITV-ZY-1
怀旧年代,http://A/ku9/js/yinhe.js?id=GITV-ZY-2
警匪悬疑,http://A/ku9/js/yinhe.js?id=GITV-ZY-3
青春剧场,http://A/ku9/js/yinhe.js?id=GITV-ZY-4
古装大剧,http://A/ku9/js/yinhe.js?id=GITV-ZY-5
红色剧场,http://A/ku9/js/yinhe.js?id=GITV-ZY-6
军旅战争,http://A/ku9/js/yinhe.js?id=GITV-ZY-7
爆笑综艺,http://A/ku9/js/yinhe.js?id=GITV-ZY-8
欧美大片,http://A/ku9/js/yinhe.js?id=GITV-ZY-9
动画电影,http://A/ku9/js/yinhe.js?id=GITV-ZY-10

🇨🇳全网通TV,#genre#,JS=https://bitbucket.org/guot55/bhmb/raw/main/TVBoxOSC/nbsj.js
CCTV4K,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-4K-HD
北京卫视4K,http://PLTV/ku9/js/nbsj.js?id=G_BEIJING-4K
AI直播频道4K,http://PLTV/ku9/js/nbsj.js?id=GITV-AI-4K
CCTV1综合频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-1-HQ
CCTV2财经频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-2-HQ
CCTV3综艺频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-3-HQ
CCTV4中文国际,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-4-HQ
CCTV5体育频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-5-HQ
CCTV5+体育赛事,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-5PLUS-HQ
CCTV6电影频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-6-HQ
CCTV7国防军事,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-7-HQ
CCTV8电视剧频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-8-HQ
CCTV9纪录片频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-9-HQ
CCTV10科教频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-10-HQ
CCTV11戏曲频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-11-HQ
CCTV12社会与法,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-12-HQ
CCTV13新闻频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-13-HQ
CCTV14少儿频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-14-HQ
CCTV15音乐频道,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-15-HQ
CCTV16奥林匹克,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-16-HQ
CCTV17农业农村,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-17-HQ
CGTN新闻,http://PLTV/ku9/js/nbsj.js?id=G_CCTV-NEWS
广东卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_GUANGDONG-HQ
江苏卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_JIANGSU-HQ
浙江卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_ZHEJIANG-HQ
湖南卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_HUNAN-HQ
东方卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_DONGFANG-HQ
北京卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_BEIJING-HQ
深圳卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_SHENZHEN-HQ
辽宁卫视,http://PLTV/ku9/js/nbsj.js?id=G_LIAONING-HQ
安徽卫视,http://PLTV/ku9/js/nbsj.js?id=G_ANHUI-HQ
山东卫视超清,http://PLTV/ku9/js/nbsj.js?id=G_SHANDONG-HQ
黑龙江卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_HEILONGJIANG-HQ
天津卫视,http://PLTV/ku9/js/nbsj.js?id=G_TIANJIN-HQ
广西卫视,http://PLTV/ku9/js/nbsj.js?id=G_GUANGXI-HQ
东南卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_DONGNAN-HQ
甘肃卫视,http://PLTV/ku9/js/nbsj.js?id=G_GANSU-HQ
贵州卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_GUIZHOU-HQ
海南卫视,http://PLTV/ku9/js/nbsj.js?id=G_HAINAN-HQ
河北卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_HEBEI-HQ
河南卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_HENAN-HQ
湖北卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_HUBEI-HQ
吉林卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_JILIN-HQ
江西卫视高清,http://PLTV/ku9/js/nbsj.js?id=G_JIANGXI-HQ
康巴卫视,http://PLTV/ku9/js/nbsj.js?id=G_KANGBA
安多卫视,http://PLTV/ku9/js/nbsj.js?id=G_ANDUO
兵团卫视,http://PLTV/ku9/js/nbsj.js?id=G_BINGTUAN
内蒙古卫视,http://PLTV/ku9/js/nbsj.js?id=G_NEIMENGGU
宁夏卫视,http://PLTV/ku9/js/nbsj.js?id=G_NINGXIA
农林卫视,http://PLTV/ku9/js/nbsj.js?id=G_NONGLIN
三沙卫视,http://PLTV/ku9/js/nbsj.js?id=G_SANSHA-HQ
陕西卫视,http://PLTV/ku9/js/nbsj.js?id=G_SHANXI-HQ
四川卫视,http://PLTV/ku9/js/nbsj.js?id=G_SICHUAN-HQ
西藏卫视,http://PLTV/ku9/js/nbsj.js?id=G_XIZANG
新疆卫视,http://PLTV/ku9/js/nbsj.js?id=G_XINJIANG
延边卫视,http://PLTV/ku9/js/nbsj.js?id=G_YANBIAN
云南卫视,http://PLTV/ku9/js/nbsj.js?id=G_YUNNAN-HQ
重庆卫视,http://PLTV/ku9/js/nbsj.js?id=G_CHONGQING-HQ
北京冬奥纪实高清,http://PLTV/ku9/js/nbsj.js?id=G_BEIJINGJS-HD
家庭理财,http://PLTV/ku9/js/nbsj.js?id=G_JIATINGLC
金鹰卡通,http://PLTV/ku9/js/nbsj.js?id=G_JINYING
卡酷少儿,http://PLTV/ku9/js/nbsj.js?id=G_KAKU
女性时尚,http://PLTV/ku9/js/nbsj.js?id=G_NVXINGSS
天元围棋,http://PLTV/ku9/js/nbsj.js?id=G_TIANYUANWQ
炫动卡通,http://PLTV/ku9/js/nbsj.js?id=G_XUANDONG
优漫卡通,http://PLTV/ku9/js/nbsj.js?id=G_YOUMAN
CETV-1高清,http://PLTV/ku9/js/nbsj.js?id=G_CETV-1-HQ
CETV-2,http://PLTV/ku9/js/nbsj.js?id=G_CETV-2
CETV-3,http://PLTV/ku9/js/nbsj.js?id=G_CETV-3
CETV-4,http://PLTV/ku9/js/nbsj.js?id=G_CETV-4
频道爆笑喜剧,http://PLTV/ku9/js/nbsj.js?id=GITV-HB-1
劲爆动作,http://PLTV/ku9/js/nbsj.js?id=GITV-HB-2
热门动画,http://PLTV/ku9/js/nbsj.js?id=GITV-HB-3
热播综艺,http://PLTV/ku9/js/nbsj.js?id=GITV-HB-4
