litv,#genre#
靖天國際台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv063
靖天資訊台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv065
靖天電影台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv061
靖天綜合台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv046
靖天戲劇台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv058
靖天歡樂台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv054
靖洋卡通台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv057
靖洋戲劇台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv045
靖天卡通台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv044

龍華日韓台,https://tzh911.qzz.io/litv.php?id=litv-longturn11
龍華洋片台,https://tzh911.qzz.io/litv.php?id=litv-longturn02
龍華偶像台,https://tzh911.qzz.io/litv.php?id=litv-longturn12
龍華經典台,https://tzh911.qzz.io/litv.php?id=litv-longturn21
龍華電影台,https://tzh911.qzz.io/litv.php?id=litv-longturn03
龍華戲劇台,https://tzh911.qzz.io/litv.php?id=litv-longturn18
龍華卡通台,https://tzh911.qzz.io/litv.php?id=litv-longturn01

民視台灣台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv001
民視台灣台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv156
民視第一台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv003
民視綜藝,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv004
民視影劇,https://tzh911.qzz.io/litv.php?id=litv-ftv09

GinxTV,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv053
GLOBETROTTER,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv016
MEZZO,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv083

TRACE,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv077
TRACE,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv082
TVBS,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv073

TVBS精采台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv067
TVBS歡樂台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv068
八大精彩台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv034
八大綜藝台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv039

中視菁采,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv064

中視經典,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv080
公視戲劇,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv042
半島新聞,https://tzh911.qzz.io/litv.php?id=litv-ftv10
古典音樂台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv059
台視財經,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv056
台灣戲劇台,https://tzh911.qzz.io/litv.php?id=litv-longturn22
生活英語台,https://tzh911.qzz.io/litv.php?id=litv-longturn20
好消息,https://tzh911.qzz.io/litv.php?id=litv-ftv16
好消息2台,https://tzh911.qzz.io/litv.php?id=litv-ftv17
阿里郎,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv079
非凡商業,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv048
客家電視台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv043
美國之音,https://tzh911.qzz.io/litv.php?id=litv-ftv03
時尚運動X,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv014
國會頻道1,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv084
國會頻道2,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv085
國際財經,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv104
第1商業台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv109
博斯高球1,https://tzh911.qzz.io/litv.php?id=litv-longturn05
博斯高球2,https://tzh911.qzz.io/litv.php?id=litv-longturn06
博斯無限,https://tzh911.qzz.io/litv.php?id=litv-longturn10
博斯無限2,https://tzh911.qzz.io/litv.php?id=litv-longturn13
博斯運動1,https://tzh911.qzz.io/litv.php?id=litv-longturn07
博斯運動2,https://tzh911.qzz.io/litv.php?id=litv-longturn08
博斯網球,https://tzh911.qzz.io/litv.php?id=litv-longturn09
博斯魅力,https://tzh911.qzz.io/litv.php?id=litv-longturn04
智林體育台,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv101
視納華仁紀實頻道,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv013
愛放動漫,https://tzh911.qzz.io/litv.php?id=litv-ftv15
愛爾達娛樂,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv070
達文西頻道,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv018
豬哥亮歌廳秀,https://tzh911.qzz.io/litv.php?id=4gtv-4gtv006



