catvod,#genre#
龍華戲劇,https://live.catvod.com/iptv.php?id=lhxj01
龍華卡通,https://live.catvod.com/iptv.php?id=lhkt01



华丽翡翠台,https://live.catvod.com/iptv.php?id=huali02
亚洲武侠,https://live.catvod.com/iptv.php?id=yzwx01
TVB娱乐新闻台,https://live.catvod.com/iptv.php?id=tvbylxw
无线新闻台,https://live.catvod.com/iptv.php?id=wxxw01
TVB星河,https://live.catvod.com/iptv.php?id=xinghe01
Now新闻台,https://live.catvod.com/iptv.php?id=nownews
翡翠台4K,https://live.catvod.com/iptv.php?id=fct4k01
翡翠台（字幕）,https://live.catvod.com/iptv.php?id=fctsub
明珠台（字幕）,https://live.catvod.com/iptv.php?id=mztsub
TVB1,https://live.catvod.com/iptv.php?id=tvb1
翡翠剧集台,https://live.catvod.com/iptv.php?id=tvbd01
CCTV13,https://live.catvod.com/iptv.php?id=cctv13
深圳卫视4K,https://live.catvod.com/iptv.php?id=szws4k
深圳财经生活,https://live.catvod.com/iptv.php?id=szcjsh
第一财经,https://live.catvod.com/iptv.php?id=dycj01
五星体育,https://live.catvod.com/iptv.php?id=wxty01
翡翠台4K（多音轨字幕）,https://live.catvod.com/iptv.php?id=fct4k02
翡翠台（多音轨字幕）,https://live.catvod.com/iptv.php?id=fct005
TVB Plus（多音轨字幕）,https://live.catvod.com/iptv.php?id=tvbplus3
明珠台（多音轨字幕）,https://live.catvod.com/iptv.php?id=mzt002
华丽翡翠台（多音轨字幕）,https://live.catvod.com/iptv.php?id=huali03
华丽翡翠台（新加坡）,https://live.catvod.com/iptv.php?id=huali04
Astro AOD（多音轨字幕）,https://live.catvod.com/iptv.php?id=asoda01
Astro AEC（多音轨字幕）,https://live.catvod.com/iptv.php?id=asaec01
Astro QJ（多音轨字幕）,https://live.catvod.com/iptv.php?id=asaqj01
TVB星河（多音轨字幕）,https://live.catvod.com/iptv.php?id=tvbxh01
爱奇艺,https://live.catvod.com/iptv.php?id=iqiyi01
千禧经典台,https://live.catvod.com/iptv.php?id=tvbc01
天映频道（多音轨字幕）,https://live.catvod.com/iptv.php?id=typd02
海峡卫视,https://live.catvod.com/iptv.php?id=hxws01
TVB星河（国语）,https://live.catvod.com/iptv.php?id=xinghe02
天映频道,https://live.catvod.com/iptv.php?id=typd03
天映经典,https://live.catvod.com/iptv.php?id=ccm01
天映经典（多音轨字幕）,https://live.catvod.com/iptv.php?id=ccm02
TV1,http://23.128.116.71:5589/live.php?id=TV1&h=23.128.116.71&p=22364&token=1768708956.5ab3d6f0b11af9e1e0b1d0a409eb73f0d98940771c43ad98c9cff62e8558c902
TV1 backup,http://23.128.116.71:5589/live.php?id=TV1_backup&h=23.128.116.71&p=22364&token=1768708956.b76261c86831025047673c147922946d98a928ddf55be8001be46c812af95ce0
TV2,http://23.128.116.71:5589/live.php?id=TV2&h=23.128.116.71&p=22364&token=1768708956.8f955182ed3df4dfe3ea79862ee0f7191a77d91f62f6463e280600c3b95bc0ee
TV3,http://23.128.116.71:5589/live.php?id=TV3&h=23.128.116.71&p=22364&token=1768708956.82b4e661c6d7d17d288a6f5ddc58a864f92134112acd78d2dd98ab4ad16834b0
TV3 SD,http://23.128.116.71:5589/live.php?id=TV3_mega&h=23.128.116.71&p=22364&token=1768708956.4d380013adfa4389ab0f332d984832d7885ec76b8d157743d479ab2dfc88c93d
TV3 backup,http://23.128.116.71:5589/live.php?id=TV3_backup&h=23.128.116.71&p=22364&token=1768708956.0c3ea9f6e98c9f7834e13f2b8494a32108fd50d2313b2b3d3b5213b2c0417c16
TV3 backup2,http://23.128.116.71:5589/live.php?id=TV3_1&h=23.128.116.71&p=22364&token=1768708956.69b6726ed54d47445c170b821afade4642a8023416111e40e05e1e8fc0024fba
TV5,http://23.128.116.71:5589/live.php?id=TV5&h=23.128.116.71&p=22364&token=1768708956.cdb57ab4c4c1e6bc74f958f03134feb6d483f6402375123fbb6c5ba7cd5ed941
NTV7,http://23.128.116.71:5589/live.php?id=NTV7&h=23.128.116.71&p=22364&token=1768708956.215baae2e4656d8dd29e48db661867510bf11576aa86498ceb683402c0b952f2
8TV,http://23.128.116.71:5589/live.php?id=TV8&h=23.128.116.71&p=22364&token=1768708956.d99b6821e0f2ece2a96d100f8beef8a62c82945471c0cbedf13f0ae50b496b32
TV9,http://23.128.116.71:5589/live.php?id=TV9&h=23.128.116.71&p=22364&token=1768708956.470de78e4b98166eb1580f777579225dabd91bc080bf707b5e8f0c177404fe59
Al-Hijrah,http://23.128.116.71:5589/live.php?id=Alhijrah&h=23.128.116.71&p=22364&token=1768708956.cf7890ea76860a6fd840ed615234e7205bef84f75959931eedd6f5b287348a2f
Al-Hijrah (Back up 1),http://23.128.116.71:5589/live.php?id=Alhijrah_backup&h=23.128.116.71&p=22364&token=1768708956.e5f97672d6dfc8a93c9314606d27cddd9f1cb9ad7b2f45a8d8879f78fe5838ff
Quran,http://23.128.116.71:5589/live.php?id=quran_mido&h=23.128.116.71&p=22364&token=1768708956.9881c9a1214d14b5c54653cfc26f6d3d356040f5b929cf7318c82c8ff949bd05
Sunnah,http://23.128.116.71:5589/live.php?id=sunnah_mido&h=23.128.116.71&p=22364&token=1768708956.9653544658372f7739bc809ed1ce1943fdd2196ff698c1742624373a7a7d29d4
Bernama,http://23.128.116.71:5589/live.php?id=Bernama&h=23.128.116.71&p=22364&token=1768708956.5b69b819e3a0a30dbfae40130bc6d58d17fbb71a3c21ca4c340e990e069562f2
Awani,http://23.128.116.71:5589/live.php?id=Awani&h=23.128.116.71&p=22364&token=1768708956.37a665843f840cf51c537251ded550eba825d49a068682ac12576d290c02724e
Ceria,http://23.128.116.71:5589/live.php?id=Ceria&h=23.128.116.71&p=22364&token=1768708956.79190657de9da959773cd3d07ac8ab213e9bba42dee29b42f5314e6194af4b90
Oasis,http://23.128.116.71:5589/live.php?id=Oasis&h=23.128.116.71&p=22364&token=1768708956.3840691039f7f275c406d07042575be328309d40285382636280a8b1f608a1e3
Boo,http://23.128.116.71:5589/live.php?id=Boo&h=23.128.116.71&p=22364&token=1768708956.cb743ddd28f6581bb0499456ce6a2a2a2a309368022aeb9c2506efdc1f24a43c
Citra,http://23.128.116.71:5589/live.php?id=AAcitra1&h=23.128.116.71&p=22364&token=1768708956.966a17991c7f4587910b40646291d2d974abfd1cdc3e58970bea3f9b535dc16e
Citra backup,http://23.128.116.71:5589/live.php?id=AAcitra1&h=23.128.116.71&p=22364&token=1768708956.966a17991c7f4587910b40646291d2d974abfd1cdc3e58970bea3f9b535dc16e
Prima,http://23.128.116.71:5589/live.php?id=Prima&h=23.128.116.71&p=22364&token=1768708956.923bcf09c0b12dd6f7944ac0e3a29b5696837a245a4487042b4a01d1eb45699a
Prima backup,http://23.128.116.71:5589/live.php?id=AAprima&h=23.128.116.71&p=22364&token=1768708956.7cbd1c222fb8418588c8b046b0d05ac789426d6fad5ff01198d0940d7e3f38c6
Ria,http://23.128.116.71:5589/live.php?id=Ria-0&h=23.128.116.71&p=22364&token=1768708956.4442929a57b32461ee104f8a3b2292e91c63001656efdee590e3f893fca81fb9
Ria-3,http://23.128.116.71:5589/live.php?id=Ria_backup&h=23.128.116.71&p=22364&token=1768708956.aa79dae4bf4c6a0eab674864ae35b0931b058dd0fe28543d3a5cf7e3d2eb9a65
Awesome TV,http://23.128.116.71:5589/live.php?id=Dsangat&h=23.128.116.71&p=22364&token=1768708956.f4676a1b3ad96fd7a0b7548ee88a8d2556a98096dc027d4a45c80548de0f6022
Aura,http://23.128.116.71:5589/live.php?id=Aura&h=23.128.116.71&p=22364&token=1768708956.90899321ca32ab8df8c05d1e9ace39aa0ffd94c735bfb7d877137641fe61597a
Sensasi,http://23.128.116.71:5589/live.php?id=Sensasi&h=23.128.116.71&p=22364&token=1768708956.e71f32355d9d770a565254307bf4dacc7b176f3231b0c1dc5de452f11d756dd2
Siar,http://23.128.116.71:5589/live.php?id=Siar&h=23.128.116.71&p=22364&token=1768708956.09f85f8266e3a7e5dcd3cefb811477b5c224a11ac7d26cb5f2640147189ddfd7
Rania,http://23.128.116.71:5589/live.php?id=Rania&h=23.128.116.71&p=22364&token=1768708956.14cbefec959566bb3e7d83818ae660a7a930cf17845eb8b99c64cf5244c2d9fa
WION,http://23.128.116.71:5589/live.php?id=Wion&h=23.128.116.71&p=22364&token=1768708956.9051b7efc21245d82b5168956b3a015965a48b96b32a8bf3b18a3533037fc4c5
Astro MTV,http://23.128.116.71:5589/live.php?id=AstroMTV&h=23.128.116.71&p=22364&token=1768708956.76010f2310a1ba5a37648201c910a45c5d06ea1bf2ca6af6a1c511a12154425c
Arena,http://23.128.116.71:5589/live.php?id=Arena&h=23.128.116.71&p=22364&token=1768708956.58567a829df5a19c554ea0145bf7e21b3ebed1d8187e360878514c254f2a5deb
Arena 2,http://23.128.116.71:5589/live.php?id=Arena2&h=23.128.116.71&p=22364&token=1768708956.bd3e1dc9f2c3f7dd0b740e9091cc9b5cce0b15bb6c7d6d6af87d36eb521ea912
Arena Bola 1,http://23.128.116.71:5589/live.php?id=Bolaarena1&h=23.128.116.71&p=22364&token=1768708956.952eaa1847e744be479306e40fad0ed75a378386115f5478632da39ffbdf4ceb
Arena Bola 2,http://23.128.116.71:5589/live.php?id=Bolaarena2&h=23.128.116.71&p=22364&token=1768708956.9379cbf9f7052ff81e574279ee92f7122831f22503323c793c1b2ddf1bf4c77b
NatGeo_Wild HD,http://23.128.116.71:5589/live.php?id=Natgeowild&h=23.128.116.71&p=22364&token=1768708956.c7631edd0850374019ac308c05cd73f3922152fd693536dd9bb27542a78c52db
RTM Sports HD,http://23.128.116.71:5589/live.php?id=Rtmsport&h=23.128.116.71&p=22364&token=1768708956.b09707ce93da966839e01e87ca11139e71dbd255d3c1f9905f1b2ed18cf180a5
Animal_Planet,http://23.128.116.71:5589/live.php?id=AnimalPlanet&h=23.128.116.71&p=22364&token=1768708956.5c995972b52efe0d487cd6052832b57ef4bd9b5d8e6a7cbc71531fb3f223eb4c
HBO Family,http://23.128.116.71:5589/live.php?id=Hbofamily&h=23.128.116.71&p=22364&token=1768708956.da775495b7f471edc5910870b04ed075261b0b54552eccc63f6b1cf460df1f82
Showcase,http://23.128.116.71:5589/live.php?id=Showcase&h=23.128.116.71&p=22364&token=1768708956.a642f3e3eb0a07443e247a10b5a553c39c5766b7b3d6eaa0459490b93483a7cd
RTM Asean,http://23.128.116.71:5589/live.php?id=Rtmasean&h=23.128.116.71&p=22364&token=1768708956.eb4c0188f010396088f4eecae5fba478135bb4d6dcb66c31654af1d5eb0778af
HGTV,http://23.128.116.71:5589/live.php?id=HGTV&h=23.128.116.71&p=22364&token=1768708956.228ff46973529d31b30057a46bf114b860dd0ada1fdf2225584ad58890e40ac7
Astro Badminton,http://23.128.116.71:5589/live.php?id=go_badminton1&h=23.128.116.71&p=22364&token=1768708956.bf9fd7e4ca4059c1eb12cf652df3bed90f3693ceabae2cfb05984eb953ce9d29
Astro Badminton 2,http://23.128.116.71:5589/live.php?id=go_badminton2&h=23.128.116.71&p=22364&token=1768708956.fc96b890aef35bed0804c3c7f79d784fc87a9029b5f149382d5b30833f3a41d7
TLC,http://23.128.116.71:5589/live.php?id=Tlc&h=23.128.116.71&p=22364&token=1768708956.ad3900f7c2fa914439dfb3eb948195533d3b41b633395cd706404743cb21176f
Foodnetwork Hd,http://23.128.116.71:5589/live.php?id=Foodnetwork&h=23.128.116.71&p=22364&token=1768708956.1c48600527994956835229dabddcea118e3eca6a48fcb4346b666d6503284690
Axn HD,http://23.128.116.71:5589/live.php?id=Axn&h=23.128.116.71&p=22364&token=1768708956.465e5c28cadb354c8a8c326275e7e9397a00b7669b31c0a85a7aab36f33e0beb
HBO HD,http://23.128.116.71:5589/live.php?id=Hbo&h=23.128.116.71&p=22364&token=1768708956.1d41a348c3b345c8045fe395e5c1a0a18a0490d8ac3e75b96001cef36e207880
HBO Signature,http://23.128.116.71:5589/live.php?id=Hbosignature&h=23.128.116.71&p=22364&token=1768708956.0da46f1576a48fd3fb0b2a1f20094f8b2a080320978c7585eba1d62e052447ca
HBO Hits,http://23.128.116.71:5589/live.php?id=Hbohitshd&h=23.128.116.71&p=22364&token=1768708956.a2481fe7c63e0b52c693984b6e1f934519c60a2e35197579c7e29b44c19321b6
Dreamworks,http://23.128.116.71:5589/live.php?id=Dreamworks&h=23.128.116.71&p=22364&token=1768708956.229bbf18561d65c88466a5827087447f683600bdacf22deea89064879aee4695
Nickelodeon,http://23.128.116.71:5589/live.php?id=Nickelodeon&h=23.128.116.71&p=22364&token=1768708956.42a4832cda15c517d03fdb6990462154d759244da492f6305c6e9b5f3e5f534b
Nick Jr,http://23.128.116.71:5589/live.php?id=Nickjr&h=23.128.116.71&p=22364&token=1768708956.f110d267c269f5cc571b50149c5ad1a2b4d1f3c56f2bfd3df240897fca9fc4bc
Cartoon Network,http://23.128.116.71:5589/live.php?id=Cn&h=23.128.116.71&p=22364&token=1768708956.106729271e3585c429dff2b6d5af398d3a8c8007686eb84d9b5e7b9c4180ed55
Asia Food Network,http://23.128.116.71:5589/live.php?id=Afc&h=23.128.116.71&p=22364&token=1768708956.fbf1de32892df3e6b1a81c6a3b032ef07944131d431a0e62139cd8226a612aa8
Animal Planet (Eng),http://23.128.116.71:5589/live.php?id=AnimalPlanet&h=23.128.116.71&p=22364&token=1768708956.5c995972b52efe0d487cd6052832b57ef4bd9b5d8e6a7cbc71531fb3f223eb4c
NatGeo Wild HD,http://23.128.116.71:5589/live.php?id=Natgeowild&h=23.128.116.71&p=22364&token=1768708956.c7631edd0850374019ac308c05cd73f3922152fd693536dd9bb27542a78c52db
TvN,http://23.128.116.71:5589/live.php?id=TVN&h=23.128.116.71&p=22364&token=1768708956.ed4a1702b825fc36020cad1621d6a8d13712609995cd3277adf2460afadf6d0a
KBS World,http://23.128.116.71:5589/live.php?id=KBS&h=23.128.116.71&p=22364&token=1768708956.c739b6167bc76a75d3cfc992c472718dcb19377804bf3c27a8d2fb6cb394ec48
Sony HD,http://23.128.116.71:5589/live.php?id=SetOne&h=23.128.116.71&p=22364&token=1768708956.f288b50f456572bc6e177bdf951b713ff1da466d91f914f0872f46031e01d8c9
tvN Movie,http://23.128.116.71:5589/live.php?id=Tvnmovie&h=23.128.116.71&p=22364&token=1768708956.a868e7859b52988692b90a1307f1230104d12626271b074f5810ae638ff4a4ad
Astrol Kplus,http://23.128.116.71:5589/live.php?id=Kplus&h=23.128.116.71&p=22364&token=1768708956.7ee455324af201353252c4e8bea4ff0b9d463a55ccab4f93db1d71bbb9193299
One,http://23.128.116.71:5589/live.php?id=One&h=23.128.116.71&p=22364&token=1768708956.43b3abc00858be35fa2b6597b178697fad95b8f22bd62629c6b28029ec90c48c
AEC,http://23.128.116.71:5589/live.php?id=AEC&h=23.128.116.71&p=22364&token=1768708956.c9da7ce335aa33f6efda33667647b6a00baa4adc10319127f3670bc87f294880
AOD,http://23.128.116.71:5589/live.php?id=Aodhd&h=23.128.116.71&p=22364&token=1768708956.f267b447893edc81c4f463d2346fb6a465d76400505d3bdda37924f0cfa4fabc
华丽台 HD (Wah Lai Toi),http://23.128.116.71:5589/live.php?id=Wlt&h=23.128.116.71&p=22364&token=1768708956.94dc3c4b4691974ae5c2e06824880574103e9a5cd964086657f2fd905aa34996
欢喜台 HD(Hua Hee Tai),http://23.128.116.71:5589/live.php?id=Huahee&h=23.128.116.71&p=22364&token=1768708956.9972d53b7c9b2318750ac8820bfdcdfcba6403a8d7a666d8c0a29e50388d714b
Astro QJ,http://23.128.116.71:5589/live.php?id=Quanjia&h=23.128.116.71&p=22364&token=1768708956.0d305488f8fccd01ec06606ce4101cace67cc4556332dbbe88f1bda1abbfec9d
TVB Jade,http://23.128.116.71:5589/live.php?id=Tvbjade&h=23.128.116.71&p=22364&token=1768708956.f0739b8c3065bfe29637d40c18797b132be81b3e4c74385d8d302af41be9b90e
爱奇艺 iQiyi,http://23.128.116.71:5589/live.php?id=Qiyi&h=23.128.116.71&p=22364&token=1768708956.b7688d65e9b85dc864391dd364fbd3b850a0b18741f0689b418c1b08fd838025
TVB 星河台  Xing He,http://23.128.116.71:5589/live.php?id=Xinhe&h=23.128.116.71&p=22364&token=1768708956.96dbc1ed1b06a85467b5a6a6e8c4816ecf5f67da6c6b93b5b0c73721f1448b93
Discovery Asia,http://23.128.116.71:5589/live.php?id=Discoveryasia&h=23.128.116.71&p=22364&token=1768708956.f063e2fb072a6d1a0a50ffdc0a4b8ba0e4cfa1d9674161e0682fe787c54c9c2d
Dmax,http://23.128.116.71:5589/live.php?id=Dmax&h=23.128.116.71&p=22364&token=1768708956.e1ca54e0ed62b0003ea96c4fa257910061ad4bd97cb4663d4e24e7ff8e259725
TVB Asia,http://23.128.116.71:5589/live.php?id=Tvbasia&h=23.128.116.71&p=22364&token=1768708956.4b1547f8c5f6ec7cc9575fce1c8275316ba6e73ef1667f9f7af99580c52bf7d4
TVB Entertainment,http://23.128.116.71:5589/live.php?id=Tvbentertainment&h=23.128.116.71&p=22364&token=1768708956.53ec57f69e91ecbb4149307aeefc9032d094cf7d87353f76ec1b884a2c0eca19
TVB Classic,http://23.128.116.71:5589/live.php?id=Tvbclassic&h=23.128.116.71&p=22364&token=1768708956.0913f4a547e1092a88ad3a593ae778eb94fad6dfc74bb36c23c6a8400ea22e00
Celestial Classic,http://23.128.116.71:5589/live.php?id=Celestial2&h=23.128.116.71&p=22364&token=1768708956.97d614b6bfa9490e267257a74593b3d32658670852cb0f7469ead19976439708
Celestial Movies HD,http://23.128.116.71:5589/live.php?id=Celestial&h=23.128.116.71&p=22364&token=1768708956.4734f30726bc313646c1c7d94fda008c0c0f47c73ee93be0d5a35ac13cd52f39
Rock Actions,http://23.128.116.71:5589/live.php?id=Rockaction&h=23.128.116.71&p=22364&token=1768708956.91d717839ce9686cf0b96d24b2875e249f052ccfdbb4a05799198bfdc81dbc2e
Rock Entertainment,http://23.128.116.71:5589/live.php?id=Rockentertain&h=23.128.116.71&p=22364&token=1768708956.ef00e6a930e1ddbecfe4dae43ecb023a78facaeef9c7d4bdf023fc5515257abc
Bollyone,http://23.128.116.71:5589/live.php?id=Bollyone&h=23.128.116.71&p=22364&token=1768708956.33c7ab28e2ddcf46b83dfcb332afda8e0ad68f33aa9135579b06d4bc950e746e
Astro Sunmusic,http://23.128.116.71:5589/live.php?id=Sunmusic&h=23.128.116.71&p=22364&token=1768708956.01d8bab13e860e712b5c40d5abc229ae0cbcbd4cf04970b9554c031a002bcb1e
Thangathirai,http://23.128.116.71:5589/live.php?id=Thangathirai&h=23.128.116.71&p=22364&token=1768708956.d9f1e4444df037d7f341b1758dd8746c0ba16fc358be3b6039ab253dabe9375d
Vinmeen,http://23.128.116.71:5589/live.php?id=Vinmeen&h=23.128.116.71&p=22364&token=1768708956.d0de76c8ed481b4227c1bbe100216cf5b8e69dfb22f72121194c133ac19c818b
Vellithirai,http://23.128.116.71:5589/live.php?id=Vellithirai&h=23.128.116.71&p=22364&token=1768708956.1b169146560240f49272381af85ddcaa235916f206e0bf3b2c9e0f6ff75b151e
Astro LOL,http://23.128.116.71:5589/live.php?id=Astro_lol&h=23.128.116.71&p=22364&token=1768708956.049b1fcb20b57e1bb5b97db7efdd5e7e21eccfcad10604634dfe2fb24e622f28
Al_Jazeera,http://23.128.116.71:5589/live.php?id=Aljazeera&h=23.128.116.71&p=22364&token=1768708956.d85c30e6fe80a039c5e998a1dc76d6299d9d6e5ea6ff1037cb417d13f40ef7df
CNN,http://23.128.116.71:5589/live.php?id=Cnn&h=23.128.116.71&p=22364&token=1768708956.51f3752819d3c3baac94e1b133aa8694901a4cbe55352349b05db43adeaceb50
CNN backup,http://23.128.116.71:5589/live.php?id=cnn_twn&h=23.128.116.71&p=22364&token=1768708956.02141eb6a95407c07921cfbb8b3a74aa160256e8cd3e4d7c652be78b20757933
BBC World News,http://23.128.116.71:5589/live.php?id=Bbcnews&h=23.128.116.71&p=22364&token=1768708956.2cabcfd9ef621f76751bbb0cdea0b178e88044e44e8b3bda91f21fa6a1463623
CNBC,http://23.128.116.71:5589/live.php?id=Cnbc&h=23.128.116.71&p=22364&token=1768708956.edd5e17309eda3dfacc1703bcd413f1e7167c59848483b04770b30d16074e550
Bloomberg TV,http://23.128.116.71:5589/live.php?id=Bloomberg&h=23.128.116.71&p=22364&token=1768708956.f8f80062b27ab71e8a5c1b154bdc047b0e704e399ae7cff1d657b7ca79ed1502
CNA,http://23.128.116.71:5589/live.php?id=cna&h=23.128.116.71&p=22364&token=1768708956.c347094aa9ddcb46ccc333fcf35865af1fcafc014b258164529c7f1cc1e85568
DW,http://23.128.116.71:5589/live.php?id=Dw&h=23.128.116.71&p=22364&token=1768708956.9dd7e190c63088f4bbe5e052a060b39874c461cb83bd0589e320be6916bfc170
France 24,http://23.128.116.71:5589/live.php?id=France24&h=23.128.116.71&p=22364&token=1768708956.f10135d3dbe73110ca53a4beed63371adea51e6b650260c355e5966b79ae3200
Eurosport,http://23.128.116.71:5589/live.php?id=Eurosport&h=23.128.116.71&p=22364&token=1768708956.5769d87884b13962a09b74484108a57ab51cb8e0663516a8ea137ab63c7c0fba
Skynews,http://23.128.116.71:5589/live.php?id=Skynews&h=23.128.116.71&p=22364&token=1768708956.56eec1316d530311e44b06e555776b964eabd7c28cef7faa3274b4f263667794
NHK Premium,http://23.128.116.71:5589/live.php?id=NHKpremium&h=23.128.116.71&p=22364&token=1768708956.47a1a7f1d252410f09817bf4bc72310d3779361fc2cae2a22fc1e070375c15ca
翡翠台,http://23.128.116.71:5589/live.php?id=jade_twn&h=23.128.116.71&p=22364&token=1768708956.5b5f9883e12c30ff293178b0e638e4e541cb3c53241cb6ff63a0af659db7501a
翡翠台 (Back up 1),http://23.128.116.71:5589/live.php?id=jade_xue&h=23.128.116.71&p=22364&token=1768708956.ee5089e1c643e0f544cc0c2d59e9c31e1bfb3081892026598edaf72e57f34e4d
iNews 互動新聞台,http://23.128.116.71:5589/live.php?id=inews_twn&h=23.128.116.71&p=22364&token=1768708956.b63848771ca998a9b1e25dea2b7ff7b72d7c7575d08632aa64c6bc6fa17d8650
J 2,http://23.128.116.71:5589/live.php?id=j2_twn&h=23.128.116.71&p=22364&token=1768708956.fa6478c14a4b3790d7ac9d2fa730845d4fa4f86216db425ca838e0dee86ef813
珍珠台,http://23.128.116.71:5589/live.php?id=pearl_twn&h=23.128.116.71&p=22364&token=1768708956.00e9c3e1d70fb8eb93854a207c943f6ffca31262317129854acf3cc14fef52da
凤凰香港,http://23.128.116.71:5589/live.php?id=hkphoenix_twn&h=23.128.116.71&p=22364&token=1768708956.5ba12eed5013592b13d743387e1fb3513f25d063efb1cbc7e294941cdf599b89
无线财经资讯台,http://23.128.116.71:5589/live.php?id=hoycaijing_twn&h=23.128.116.71&p=22364&token=1768708956.5c85286d411579e4eeef32ac48f1b304d908ad76ca72236afe0c7eeaffc5ac3d
RHK 31,http://23.128.116.71:5589/live.php?id=rhk31_twn&h=23.128.116.71&p=22364&token=1768708956.6d610a003132f220644715ee9f7839b65e1858f0c5408f3fa34de14b389d4503
VIUTV1,http://23.128.116.71:5589/live.php?id=viu1_twn&h=23.128.116.71&p=22364&token=1768708956.b6340ec5b9c91d46edaf5cdbb199fc936dfc8bfecedd1cbc46ea2a427e41fc4d
RHK 32,http://23.128.116.71:5589/live.php?id=rhk32_twn&h=23.128.116.71&p=22364&token=1768708956.a26ab7cc3baab06834c5943bf6ac138c94e9063bb60e18619f57853d182b035e
TVB Asia,http://23.128.116.71:5589/live.php?id=Tvbasia&h=23.128.116.71&p=22364&token=1768708956.4b1547f8c5f6ec7cc9575fce1c8275316ba6e73ef1667f9f7af99580c52bf7d4
凤凰卫视,http://23.128.116.71:5589/live.php?id=phoenixtv_hd&h=23.128.116.71&p=22364&token=1768708956.751e3083027a08f3ab01a22403487a835eaba9a6247130971919a80724b7d236
鳳凰資訊,http://23.128.116.71:5589/live.php?id=phoenixinfo_hd&h=23.128.116.71&p=22364&token=1768708956.c3c85cd8272611b1698661cc2efc291d9b004b69a3b731414ba573518c2db3b2
TVB Entertainment,http://23.128.116.71:5589/live.php?id=Tvbentertainment&h=23.128.116.71&p=22364&token=1768708956.53ec57f69e91ecbb4149307aeefc9032d094cf7d87353f76ec1b884a2c0eca19
TVB Classic,http://23.128.116.71:5589/live.php?id=Tvbclassic&h=23.128.116.71&p=22364&token=1768708956.0913f4a547e1092a88ad3a593ae778eb94fad6dfc74bb36c23c6a8400ea22e00
Viu6,http://23.128.116.71:5589/live.php?id=viusix_twn&h=23.128.116.71&p=22364&token=1768708956.eefd3e4f7e71ee51b1a1d8b80d58eb02c1bfb14d1a774a10d27a147927c78532
Astro PL 1,http://23.128.116.71:5589/live.php?id=Assp1&h=23.128.116.71&p=22364&token=1768708956.3a53dfe6e981d3b6f8b2edd4adc4b16f6d9716c0dd96f7004f10d7f6be3487bc
Astro PL 1 (Back Up 1),http://23.128.116.71:5589/live.php?id=go_assp1&h=23.128.116.71&p=22364&token=1768708956.04c9fb4fb1034dce6812b705ac46390272fdc20efe1fc8c3177918786621653a
Astro PL 1 (Back Up 2),http://23.128.116.71:5589/live.php?id=go_assp1x&h=23.128.116.71&p=22364&token=1768708956.fdb8fa63617989870d1fc045a03d1cb89592bd43e7d87e86ea0e03277c3551ad
Astro W-Sports,http://23.128.116.71:5589/live.php?id=go_assp5&h=23.128.116.71&p=22364&token=1768708956.d4c6e0053e3b4c5d1f51070ba78e1c42333694be3c187507f1a832ab37d93319
Astro PL 2,http://23.128.116.71:5589/live.php?id=go_assp2&h=23.128.116.71&p=22364&token=1768708956.2a622133afdc850c2d0ac8ff509eeb648a70a7ae3f65aff3b8245950cd9751f1
